original_message,property_type,area_sqft,price,price_unit,rent,rent_unit,location,furnishing,transaction_type,contact,is_real_estate,price_lakhs,rent_thousands,bhk_number,price_category,rent_category
"2BHK available for rent in Andheri East. 1100 sqft, semi-furnished, 65k rent. Near metro station. Contact: 9812312345",2,1100.0,,,65000.0,K,Andheri,,rent,9812312345,True,,65.0,2.0,,60k-1L
"3BHK luxury flat for sale in Powai. 1850 sqft, 4.2 Cr. Sea facing, clubhouse, 3 parking. Call 9823412345 for site visit.",3,1850.0,42000000.0,CR,,,Powai,,sale,9823412345,True,420.0,,3.0,2-5Cr,
"1RK studio apartment available in Lokhandwala. 450 sqft, fully furnished, 25k rent. Ideal for bachelors. WhatsApp for pics: 9876543210",1,450.0,,,25000.0,K,Lokhandwala,,rent,9876543210,True,,25.0,1.0,,20-40k
"Shop space available in Bandra West. 800 sqft, 1.5L rent. Main road, good footfall. Immediate possession. Contact: 9898765432",,800.0,,,150000.0,L,Bandra,,rent,9898765432,True,,150.0,,,1L+
"2BHK ready to move flat in Malad West. 1200 sqft, 1.8Cr. 2nd floor, park facing. No brokerage. Serious buyers only: 9811122233",2,1200.0,18000000.0,CR,,,Malad,,sale,9811122233,True,180.0,,2.0,1-2Cr,
"3BHK duplex for rent in Juhu. 2200 sqft, 1.2L rent. 3 bathrooms, modular kitchen. Available from next month. Call 9822233344",3,2200.0,,,120000.0,L,Juhu,,rent,9822233344,True,,120.0,3.0,,1L+
"1BHK budget flat in Kandivali East. 650 sqft, 42k rent. Near station, market area. Security deposit 2 months. Contact: 9833344455",1,650.0,,,42000.0,K,Kandivali,,rent,9833344455,True,,42.0,1.0,,40-60k
"4BHK penthouse for sale in Worli. 3200 sqft, 8.5Cr. Private terrace, sea view, 4 parking. Premium location. Agent: 9844455566",4,3200.0,85000000.0,CR,,,Worli,,sale,9844455566,True,850.0,,4.0,5Cr+,
"Commercial office available in Lower Parel. 1500 sqft, 90k rent. IT park, 24/7 security. Ideal for startup. Call 9855566677",,1500.0,,,90000.0,K,Lower Parel,,rent,9855566677,True,,90.0,,,60k-1L
"2BHK resale flat in Goregaon East. 950 sqft, 1.1Cr. 5 years old, good condition. Loan available. Contact: 9866677788",2,950.0,11000000.0,CR,,,Goregaon,,sale,9866677788,True,110.0,,2.0,1-2Cr,
"3BHK furnished flat for rent in Chembur. 1400 sqft, 55k. All appliances included. Family preferred. No pets. WhatsApp: 9877788899",3,1400.0,,,,,Chembur,,,9877788899,True,,,3.0,,
"1BHK new construction in Thane. 700 sqft, 85L. Possession in 6 months. Project approved. Booking amount 10%. Builder direct: 9888899900",1,700.0,,,,,Thane,,,9888899900,True,,,1.0,,
"Industrial space available in Bhiwandi. 5000 sqft, 2L rent. 30ft height, loading dock. Industrial area. Owner: 9899900011",,5000.0,,,200000.0,L,Bhiwandi,,rent,9899900011,True,,200.0,,,1L+
"2BHK corner flat in Borivali West. 1100 sqft, 1.4Cr. 5th floor, 2 balconies. Vaastu compliant. Quick deal: 9812312312",2,1100.0,14000000.0,CR,,,Borivali,,sale,9812312312,True,140.0,,2.0,1-2Cr,
"3BHK service apartment for rent in South Mumbai. 1800 sqft, 1.5L. All utilities included, housekeeping. Minimum 1 year lease: 9823423423",3,1800.0,,,,,,,,9823423423,True,,,3.0,,
"1RK paying guest accommodation in Andheri West. 300 sqft, 15k including food. Separate entrance, attached bathroom. Girls only. Call 9834534534",1,300.0,,,,,Andheri,,,9834534534,True,,,1.0,,
"Farmhouse for sale on Mumbai-Pune highway. 2 acre, 3.5Cr. 3 bedrooms, swimming pool. Good for weekend home. Agent: 9845645645",,,35000000.0,CR,,,,,sale,9845645645,True,350.0,,,2-5Cr,
"2BHK bank auction property in Navi Mumbai. 1000 sqft, 85L. As-is condition. Clear title. Auction date: 25th March. Contact: 9856756756",2,1000.0,,,,,Navi Mumbai,,,9856756756,True,,,2.0,,
"3BHK premium flat in Seawoods. 1650 sqft, 2.8Cr. West facing, 3 bathrooms, wooden flooring. Ready to move. Owner: 9867867867",3,1650.0,28000000.0,CR,,,Seawoods,,sale,9867867867,True,280.0,,3.0,2-5Cr,
"Commercial shop in mall, Vashi. 600 sqft, 75k rent. Ground floor, high visibility. Food court location. Investment opportunity: 9878978978",,600.0,,,75000.0,K,Vashi,,rent,9878978978,True,,75.0,,,60k-1L
"2BHK available for rent in Andheri East. 1100 sqft, semi-furnished, 65k rent. Near metro station. Contact: 9812312345",2,1100.0,,,65000.0,K,Andheri,,rent,9812312345,True,,65.0,2.0,,60k-1L
"3BHK luxury flat for sale in Powai. 1850 sqft, 4.2 Cr. Sea facing, clubhouse, 3 parking. Call 9823412345",3,1850.0,42000000.0,CR,,,Powai,,sale,9823412345,True,420.0,,3.0,2-5Cr,
"1RK studio apartment in Lokhandwala. 450 sqft, fully furnished, 25k rent. Ideal for bachelors. WhatsApp: 9876543210",1,450.0,,,25000.0,K,Lokhandwala,,rent,9876543210,True,,25.0,1.0,,20-40k
"Shop space in Bandra West. 800 sqft, 1.5L rent. Main road, good footfall. Immediate possession. Contact: 9898765432",,800.0,,,150000.0,L,Bandra,,rent,9898765432,True,,150.0,,,1L+
"2BHK ready to move flat in Malad West. 1200 sqft, 1.8Cr. 2nd floor, park facing. No brokerage. Serious buyers: 9811122233",2,1200.0,18000000.0,CR,,,Malad,,sale,9811122233,True,180.0,,2.0,1-2Cr,
"3BHK duplex for rent in Juhu. 2200 sqft, 1.2L rent. 3 bathrooms, modular kitchen. Available from next month. Call 9822233344",3,2200.0,,,120000.0,L,Juhu,,rent,9822233344,True,,120.0,3.0,,1L+
"1BHK budget flat in Kandivali East. 650 sqft, 42k rent. Near station, market area. Security deposit 2 months. Contact: 9833344455",1,650.0,,,42000.0,K,Kandivali,,rent,9833344455,True,,42.0,1.0,,40-60k
"4BHK penthouse for sale in Worli. 3200 sqft, 8.5Cr. Private terrace, sea view, 4 parking. Premium location. Agent: 9844455566",4,3200.0,85000000.0,CR,,,Worli,,sale,9844455566,True,850.0,,4.0,5Cr+,
"Commercial office in Lower Parel. 1500 sqft, 90k rent. IT park, 24/7 security. Ideal for startup. Call 9855566677",,1500.0,,,90000.0,K,Lower Parel,,rent,9855566677,True,,90.0,,,60k-1L
"2BHK resale flat in Goregaon East. 950 sqft, 1.1Cr. 5 years old, good condition. Loan available. Contact: 9866677788",2,950.0,11000000.0,CR,,,Goregaon,,sale,9866677788,True,110.0,,2.0,1-2Cr,
"3BHK furnished flat in Chembur. 1400 sqft, 55k rent. All appliances included. Family preferred. No pets. WhatsApp: 9877788899",3,1400.0,,,55000.0,K,Chembur,,rent,9877788899,True,,55.0,3.0,,40-60k
"1BHK new construction in Thane. 700 sqft, 85L. Possession in 6 months. Project approved. Booking amount 10%. Builder: 9888899900",1,700.0,,,,,Thane,,,9888899900,True,,,1.0,,
"Industrial space in Bhiwandi. 5000 sqft, 2L rent. 30ft height, loading dock. Industrial area. Owner: 9899900011",,5000.0,,,200000.0,L,Bhiwandi,,rent,9899900011,True,,200.0,,,1L+
"2BHK corner flat in Borivali West. 1100 sqft, 1.4Cr. 5th floor, 2 balconies. Vaastu compliant. Quick deal: 9812312312",2,1100.0,14000000.0,CR,,,Borivali,,sale,9812312312,True,140.0,,2.0,1-2Cr,
"3BHK service apartment in South Mumbai. 1800 sqft, 1.5L rent. All utilities included, housekeeping. Minimum 1 year: 9823423423",3,1800.0,,,150000.0,L,,,rent,9823423423,True,,150.0,3.0,,1L+
"1RK paying guest in Andheri West. 300 sqft, 15k including food. Separate entrance, attached bathroom. Girls only. Call 9834534534",1,300.0,,,,,Andheri,,,9834534534,True,,,1.0,,
"2BHK bank auction property in Navi Mumbai. 1000 sqft, 85L. As-is condition. Clear title. Auction date: 25th March. Contact: 9856756756",2,1000.0,,,,,Navi Mumbai,,,9856756756,True,,,2.0,,
"3BHK premium flat in Seawoods. 1650 sqft, 2.8Cr. West facing, 3 bathrooms, wooden flooring. Ready to move. Owner: 9867867867",3,1650.0,28000000.0,CR,,,Seawoods,,sale,9867867867,True,280.0,,3.0,2-5Cr,
"Commercial shop in mall, Vashi. 600 sqft, 75k rent. Ground floor, high visibility. Food court location. Investment: 9878978978",,600.0,,,75000.0,K,Vashi,,rent,9878978978,True,,75.0,,,60k-1L
"1BHK available in Santacruz East. 550 sqft, 35k rent. Near station, market. Good for couples. Contact: 9812387654",1,550.0,,,35000.0,K,Santacruz,,rent,9812387654,True,,35.0,1.0,,20-40k
"2BHK semi-furnished in Vile Parle. 850 sqft, 50k rent. 2nd floor, quiet society. Available immediately. Call: 9823478654",2,850.0,,,50000.0,K,Vile Parle,,rent,9823478654,True,,50.0,2.0,,40-60k
"3BHK luxury apartment in Bandra West. 1800 sqft, 2.1Cr sale. Sea view, modern amenities. Premium location. Contact: 9876598765",3,1800.0,21000000.0,CR,,,Bandra,,sale,9876598765,True,210.0,,3.0,2-5Cr,
"Office space in Andheri East. 1200 sqft, 80k rent. Near station, good connectivity. Ideal for corporate. WhatsApp: 9898787654",,1200.0,,,80000.0,K,Andheri,,rent,9898787654,True,,80.0,,,60k-1L
"4BHK villa in Powai. 2800 sqft, 5.5Cr. Private garden, 4 bathrooms, modular kitchen. Luxury living. Call: 9811198765",4,2800.0,55000000.0,CR,,,Powai,,sale,9811198765,True,550.0,,4.0,5Cr+,
"1RK studio in Lokhandwala. 400 sqft, 22k rent. Fully furnished, all utilities. Perfect for professionals. Contact: 9833398765",1,400.0,,,22000.0,K,Lokhandwala,,rent,9833398765,True,,22.0,1.0,,20-40k
"2BHK in Kandivali West. 900 sqft, 45k rent. 3rd floor, park facing. Family preferred. Security: 2 months. Call: 9844498765",2,900.0,,,45000.0,K,Kandivali,,rent,9844498765,True,,45.0,2.0,,40-60k
"3BHK duplex in Juhu. 2400 sqft, 3.8Cr sale. Private terrace, Jacuzzi, premium finishes. Exclusive location. Agent: 9855598765",3,2400.0,38000000.0,CR,,,Juhu,,sale,9855598765,True,380.0,,3.0,2-5Cr,
"Commercial space in Lower Parel. 2000 sqft, 1.2L rent. Premium building, 24/7 power backup. Corporate standards. Contact: 9866698765",,2000.0,,,120000.0,L,Lower Parel,,rent,9866698765,True,,120.0,,,1L+
"2BHK resale in Malad East. 950 sqft, 1Cr. 7 years old, well maintained. Loan available from all banks. WhatsApp: 9877798765",2,950.0,10000000.0,CR,,,Malad,,sale,9877798765,True,100.0,,2.0,1-2Cr,
"3BHK furnished in Andheri West. 1300 sqft, 70k rent. All modern appliances, modular kitchen. Family only. Call: 9888898765",3,1300.0,,,70000.0,K,Andheri,,rent,9888898765,True,,70.0,3.0,,60k-1L
"1BHK in Thane West. 650 sqft, 75L. Under construction, possession in 8 months. RERA approved. Booking: 10%. Builder: 9899998765",1,650.0,,,,,Thane,,,9899998765,True,,,1.0,,
